# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
codex_tooltip_dynamicReputations	I detenuti hanno la possibilità di guadagnare o perdere tratti di Reputazione unici durante il periodo di detenzione, in base alle loro attività ed esperienze all'interno della prigione.\n\n Bassa: i detenuti iniziano con una reputazione dinamica estremamente bassa. La reputazione viene acquisita a un ritmo più lento. Il numero di detenuti Leggendari è notevolmente ridotto.\n\n Media: i detenuti iniziano con una reputazione dinamica bassa. La reputazione viene acquisita a un ritmo medio. Il numero di detenuti Leggendari è moderato.\n\n Alta: i detenuti iniziano con una reputazione dinamica moderata. La reputazione viene acquisita a un ritmo medio. Il numero di detenuti Leggendari potenzialmente introdotti è elevato.
object_scannermonitor_needsmachine	Collega a uno scanner
object_scannermachine_needsmonitor	Collega a un monitor

roomerror_nodeliveryarealinked	In Logistica non c'è un'area di consegna collegata a questo punto


# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	L'area del Vivaio dev'essere recintata per impedire le fughe. Solo così i detenuti potranno essere assegnati a lavorarvi.


research_forestrylabour	Lavoro nel vivaio
researchtooltip_forestrylabour	Ti consente di assegnare i detenuti a lavorare nel vivaio tramite il menu Logistica. L'area del vivaio dev'essere recintata per impedire le fughe: solo così i detenuti potranno essere assegnati a lavorarvi. Ricorda: per poter ripiantare gli alberi, i detenuti richiederanno anche l'accesso alle aree di consegna.
action_usecomputer	Usa computer


buildtoolbar_popup_help_roomquality_1	La vista Qualità delle stanze mostra la valutazione della qualità di tutte le stanze migliorabili della tua prigione. Maggiore la valutazione, migliore la qualità. Passa il mouse sopra una stanza per visualizzare i fattori che ne hanno determinato la qualità e ciò che puoi aggiungere per migliorarla.\n\n
buildtoolbar_popup_help_roomquality_2	Con TRASFERIMENTO DETENUTI attivato
buildtoolbar_popup_help_roomquality_3	- La Qualità stanze contribuirà anche al voto generale di quel Settore di sicurezza.
buildtoolbar_popup_help_roomquality_4	- I detenuti vorranno essere trasferiti a un Settore di sicurezza inferiore, se è migliore (cioè se ha un voto più alto) rispetto al loro Settore di sicurezza attuale.\n\n
buildtoolbar_popup_help_roomquality_5	VALUTAZIONE CELLE
buildtoolbar_popup_help_roomquality_6	- I prigionieri hanno diritto a una migliore qualità delle celle per buona condotta nel corso del tempo. Disporre di celle di qualità superiore è un ottimo modo per incentivare la buona condotta.
buildtoolbar_popup_help_roomquality_7	- È comunque importante mantenere anche delle celle di bassa qualità nella tua prigione, perché ai nuovi arrivati servirà un luogo dove stare e, se tutte le celle disponibili sono di qualità troppo elevata, potrebbero ritrovarsi in una cella di custodia.
buildtoolbar_popup_help_roomquality_8	- I prigionieri possono essere collocati in celle di qualità superiore in caso non vi sia altro spazio disponibile, ma gli altri prigionieri potrebbero non gradire la differenza di trattamento...

interface_landbuyoverwater	Scegli se generare isole aggiuntive attorno alle tue corsie di consegna per espanderti, oppure soltanto tratti di mare aperto.
interface_landbuywaterislands	ISOLE
interface_landbuywateronly	SOLO ACQUA

codex_option_landExpansion	Espansione territoriale
codex_tooltip_landExpansion	Espande il terreno del tuo lotto una volta per ogni lato, consentendoti di avere un lotto di partenza molto più grande sin dall'inizio.

quickbuild_smallIsland	Isola (piccola)
quickbuild_mediumIsland	Isola (media)
quickbuild_largeIsland	Isola (grande)
quickbuild_smallLand	Terreno (piccolo)
quickbuild_largeLand	Terreno (grande)


buildtoolbar_quickbuild_smallIsland	Un'isola prodotta in serie e circondata da acque poco profonde, adatta a qualsiasi arcipelago.
buildtoolbar_quickbuild_mediumIsland	Un'isola prodotta in serie e circondata da acque poco profonde, adatta a qualsiasi arcipelago.
buildtoolbar_quickbuild_largeIsland	Un'isola prodotta in serie e circondata da acque poco profonde, adatta a qualsiasi arcipelago.
buildtoolbar_quickbuild_smallLand	Un appezzamento base di caselle con sabbia, terra ed erba, da usare quando espandi il tuo terreno.
buildtoolbar_quickbuild_largeLand	Un appezzamento base di caselle con sabbia, terra ed erba, da usare quando espandi il tuo terreno.

material_islandgenerator	Isole veloci
buildtoolbar_popup_mat_islandgenerator	Trascina e seleziona aree nell'acqua per creare isole casuali. Ricorda: non puoi occupare le corsie di consegna delle tue navi.

online_check_fail	Al momento non hai il permesso di accedere a questa funzionalità del gioco.

job_failed_routetomaterial_blocked	Il percorso tra Materiale e Lavoro è bloccato

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_ReclaimedWoodWall	Muro di legno recuperato
material_BottleWall	Muro di bottiglie
material_WhitePicketFence	Staccionata bianca
material_ReclaimedBrickFloor	Mattone recuperato
material_ReclaimedRubberFloor	Gomma recuperata
material_HayBailWall	Muro di fieno
material_WoodenFence	Recinto di legno
material_GardenWall	Muro del giardino
material_SellMaterial	Vendi materiale

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	Capanno
object_BasicAutoGatherer	Raccoglitore automatico base
object_AdvancedAutoGatherer	Raccoglitore automatico avanzato
object_AutoHarvester	Mietitrice automatica
object_AutoScythe	Falce automatica
object_Farmer	Fattore
object_CompostFertilizer	Fertilizzante compost
object_HighQualityFertilizer	Fertilizzante alta qualità

object_CropCarrotPlant	Pianta di carota
object_CropPotatoPlant	Pianta di patata
object_CropTomatoPlant	Pianta di pomodoro
object_CropCabbagePlant	Pianta di cavolo
object_CropAppleTree	Melo
object_CropBananaTree	Banano
object_CropOrangeTree	Arancio
object_CropPeachTree	Pesco
object_CropCornPlant	Pianta di mais
object_CropWheatPlant	Pianta di grano
object_CropBarleyPlant	Pianta di orzo

object_CropAppleTreeSeed	Seme di melo
object_CropBananaTreeSeed	Seme di banano
object_CropOrangeTreeSeed	Seme di arancio
object_CropPeachTreeSeed	Seme di pesco

object_CropCarrotPlantSeed	Seme di carota
object_CropPotatoPlantSeed	Seme di patata
object_CropTomatoPlantSeed	Seme di pomodoro
object_CropCabbagePlantSeed	Seme di cavolo
object_CropCornPlantSeed	Seme di mais
object_CropWheatPlantSeed	Seme di grano
object_CropBarleyPlantSeed	Seme di orzo

object_apple	Mela
object_banana	Banana
object_Peach	Pesca
object_orange	Arancia
object_carrot	Carota
object_cabbage	Cavolo
object_potato	Patata
object_tomato	Pomodoro
object_barley	Orzo
object_wheat	Grano
object_corn	Mais
object_OrganicWaste	Rifiuti organici

object_SolarPanels	Pannelli solari
object_Transformer	Trasformatore
object_WindTurbine	Turbina a vento
object_SolarWindHybrid	Ibrido eolico-fotovoltaico
object_Battery	Batteria
object_PowerExportMeter	Misuratore di esportazione di energia
object_PracticeSolarPanel	Pannello solare di prova

object_TallFridge	Frigorifero alto
object_StorageShelf	Scaffale magazzino
object_CropSprinkler	Irrigatore campi
object_DripPipe	Tubo di gocciolamento

object_compostbin	Bidone compost
object_RecyclingBin	Bidone riciclaggio
object_RecyclingBag	Borsa riciclaggio

object_GardenGnome	Nano da giardino
object_TopiaryBush	Cespuglio topiario
object_TopiaryBushBall	Cespuglio topiario (sfera)
object_TopiaryBushWarden	Cespuglio topiario (direttore)
object_TopiaryBushSwan	Cespuglio topiario (cigno)
object_TopiaryBushDeer	Cespuglio topiario (cervo)
object_TopiaryBushDog	Cespuglio topiario (cane)
object_TopiaryBushCat	Cespuglio topiario (gatto)
object_TopiaryBushRex	Cespuglio topiario (dinosauro)
object_SolarLight	Luce (solare)

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	Cespuglio di rose
object_FlowerSunflower	Girasole
object_FlowerMixedBegonias	Begonie miste
object_FlowerHeatherBushes	Cespugli di erica
object_FlowerHydrangeaPlant	Pianta di ortensia

object_FlowerRoseBushSeed	Seme di cespuglio di rose
object_FlowerSunflowerSeed	Seme di girasole
object_FlowerMixedBegoniasSeed	Seme di begonia
object_FlowerHeatherBushesSeed	Seme di cespuglio di erica
object_FlowerHydrangeaPlantSeed	Seme di ortensia

object_BarnDoor	Porta del fienile
object_WhitePicketGate	Cancello staccionata bianca
object_DoubleDoor	Porta doppia
object_DoubleStaffDoor	Porta doppia per staff
object_DoubleVisitorDoor	Porta doppia per visitatori
object_SellUtility	Vendi strumento
object_DumpObject	Butta oggetto

d11_construction_sellUtility	Vendi strumento

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	Spatola
equipment_handFork	Rastrellino
equipment_HerbPlant	Droghe
equipment_Kicker	Alcol puro
equipment_Drink	Bevanda
equipment_BoozeBag	Borsa alcol
equipment_Orange	Arancia
equipment_ProducedDrugs	Droga prodotta
equipment_ProducedBooze	Alcol prodotto
equipment_ProducedNarcotics	Narcotici prodotti

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	Orto
room_FruitOrchard	Frutteto
room_FarmingField	Campo agricolo
room_pantry	Dispensa

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	Fiore da giardino
quickbuild_grove	Boschetto
quickbuild_hedgeMaze	Labirinto di siepi
quickbuild_yard	Cortile

buildtoolbar_quickbuild_flowerGarden	Una tranquilla zona di riposo per i nostri detenuti.
buildtoolbar_quickbuild_grove	Un gruppo di alberi, da utilizzare per dare più vita al nostro terreno.
buildtoolbar_quickbuild_hedgeMaze	Un labirinto base formato da siepi che i nostri detenuti possono esplorare.
buildtoolbar_quickbuild_yard	Un cortile standard con tutto quello che i nostri detenuti possono volere.


# =============================================================================
# Carousel - Hint strings
# =============================================================================

#console only
d11_construction_hints_FlowerField	Area erbosa su cui crescono dei bei fiori.
#

buildtoolbar_popup_mat_ReclaimedWoodWall	Pareti di legno, realizzate con materiali di recupero.
buildtoolbar_popup_mat_BottleWall	Bellissime pareti colorate, realizzate con materiali di recupero.
buildtoolbar_popup_mat_WhitePicketFence	Tengono al sicuro i fiori da giardino. Non fanno altrettanto con i detenuti.
buildtoolbar_popup_mat_ReclaimedBrickFloor	Piastrellatura a spina di pesce, realizzata con materiali di recupero.
buildtoolbar_popup_mat_ReclaimedRubberFloor	Piastrellatura di gomma, realizzata con materiali di recupero.

buildtoolbar_popup_obj_Shed	Una zona dove conservare semi, attrezzi e altri oggetti agricoli. È dotata di rubinetto dell'acqua per permettere l'irrigazione di base.
buildtoolbar_popup_obj_BasicAutoGatherer	Si attiva ogni 6 ore. Raccoglie e conserva tutti gli ingredienti entro un'area 5x5.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Si attiva ogni 6 ore. Raccoglie e conserva tutti gli ingredienti entro un'area 10x10.
buildtoolbar_popup_obj_AutoHarvester	Si attiva ogni 6 ore. Raccoglie tutte le colture in un'area dalla lunghezza frontale di 10 caselle. La raccolta viene bloccata da pareti e porte.
buildtoolbar_popup_obj_AutoScythe	Un robot da fattoria che si attiva ogni 6 ore durante il gioco. Raccoglie tutte le colture all'interno di un'area 5x5.

buildtoolbar_popup_room_pantry	Una stanza per conservare frutta e ortaggi appena cresciuti. La stanza è refrigerata per meglio conservare gli ingredienti coltivati dai detenuti.
buildtoolbar_popup_room_VegetableAllotment	Una stanza dove coltivare ortaggi. Gli ortaggi coltivati possono essere usati per i pasti dei detenuti, oppure venduti come esportazioni.
buildtoolbar_popup_room_FarmingField	Una stanza dove coltivare cereali e granaglie. Queste colture possono essere solo vendute come esportazioni.
buildtoolbar_popup_room_FruitOrchard	Una stanza per coltivare alberi da frutta. Gli alberi da frutta continuano a fruttificare dopo il primo raccolto e possono essere utilizzati per i pasti dei detenuti, oppure venduti come esportazioni.
buildtoolbar_popup_room_flowergarden	Un'area ricreativa a giardino dove i detenuti possono coltivare e occuparsi delle piante.

buildtoolbar_popup_obj_CropCarrotPlant	Coltiva le tue carote! Si acquista come pacchetto da 20 semi che di solito, al raccolto, producono 1 ingrediente ciascuno. Le carote raccolte possono essere vendute per 4 $ ciascuna.
buildtoolbar_popup_obj_CropPotatoPlant	Coltiva le tue patate! Si acquista come pacchetto da 20 semi che di solito, al raccolto, producono 3 patate ciascuno. Le patate raccolte possono essere vendute per 3 $ ciascuna.
buildtoolbar_popup_obj_CropTomatoPlant	Coltiva i tuoi pomodori! Si acquista come pacchetto da 10 semi che di solito, al raccolto, producono 5 pomodori ciascuno. I pomodori raccolti possono essere venduti per 4 $ ciascuno.
