# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
buildtoolbar_popup_help_roomquality_7	- É importante manter algumas celas de baixa qualidade na prisão, já que os recém-chegados vão precisar de um lugar; e, se todas as celas disponíveis forem de qualidade muito alta, eles podem ir parar em uma cela temporária.
buildtoolbar_popup_help_roomquality_8	- Os detentos podem ser colocados em uma cela de qualidade melhor do que merecem, caso não haja outro espaço disponível, mas outros detentos podem não gostar disso...

interface_landbuyoverwater	Escolha gerar mar aberto ou ilhas extras em torno das suas vias de navegação para ampliá-las.
interface_landbuywaterislands	ILHAS
interface_landbuywateronly	APENAS NA ÁGUA

codex_option_landExpansion	Expansão de propriedade
codex_tooltip_landExpansion	Amplia uma vez a área do seu terreno para cada lado, permitindo que o terreno inicial seja muito maior desde o início.

quickbuild_smallIsland	Ilha (pequena)
quickbuild_mediumIsland	Ilha (média)
quickbuild_largeIsland	Ilha (grande)
quickbuild_smallLand	Terreno (pequeno)
quickbuild_largeLand	Terreno (grande)


buildtoolbar_quickbuild_smallIsland	Uma ilha produzida em massa rodeada por águas rasas que não pareceriam deslocadas em nenhum arquipélago.
buildtoolbar_quickbuild_mediumIsland	Uma ilha produzida em massa rodeada por águas rasas que não pareceriam deslocadas em nenhum arquipélago.
buildtoolbar_quickbuild_largeIsland	Uma ilha produzida em massa rodeada por águas rasas que não pareceriam deslocadas em nenhum arquipélago.
buildtoolbar_quickbuild_smallLand	Um trecho padrão básico de blocos de grama, areia e terra para usar ao ampliar seu terreno.
buildtoolbar_quickbuild_largeLand	Um trecho padrão básico de blocos de grama, areia e terra para usar ao ampliar seu terreno.

material_islandgenerator	Ilhas Rápidas
buildtoolbar_popup_mat_islandgenerator	Arraste áreas na água para gerar uma ilha aleatória. Evite as vias de navegação do seu barco.

online_check_fail	No momento, você não tem permissão para acessar este recurso do jogo.

job_failed_routetomaterial_blocked	Caminho entre material e trabalho bloqueado

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

#console only
material_FlowerField	Campo florido
#

material_ReclaimedWoodWall	Parede de madeira de demolição
material_BottleWall	Parede de garrafas
material_WhitePicketFence	Cerca branca de estacas
material_ReclaimedBrickFloor	Tijolo de demolição
material_ReclaimedRubberFloor	Borracha de demolição
material_HayBailWall	Parede de fardo de feno
material_WoodenFence	Cerca de madeira
material_GardenWall	Muro de jardim
material_SellMaterial	Vender material

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	Galpão
object_BasicAutoGatherer	Coletor automático básico
object_AdvanceAutoGatherer	Coletor automático avançado
object_AutoHarvester	Colheitadeira automática
object_AutoScythe	Foice automática
object_Farmer	Fazendeiro
object_CompostFertilizer	Fertilizante de compostagem
object_HighQualityFertilizer	Fertilizante de alta qualidade

object_CropCarrotPlant	Cenoura (planta)
object_CropPotatoPlant	Batata (planta)
object_CropTomatoPlant	Tomate (planta)
object_CropCabbagePlant	Repolho (planta)
object_CropAppleTree	Macieira
object_CropBananaTree	Bananeira
object_CropOrangeTree	Laranjeira
object_CropPeachTree	Pessegueiro
object_CropCornPlant	Milho (planta)
object_CropWheatPlant	Trigo (planta)
object_CropBarleyPlant	Cevada (planta)

object_CropAppleTreeSeed	Semente de macieira
object_CropBananaTreeSeed	Semente de bananeira
object_CropOrangeTreeSeed	Semente de laranjeira
object_CropPeachTreeSeed	Semente de pessegueiro

object_CropCarrotPlantSeed	Semente de cenoura
object_CropPotatoPlantSeed	Semente de batata
object_CropTomatoPlantSeed	Semente de tomate
object_CropCabbagePlantSeed	Semente de repolho
object_CropCornPlantSeed	Semente de milho
object_CropWheatPlantSeed	Semente de trigo
object_CropBarleyPlantSeed	Semente de cevada

object_apple	Maçã
object_banana	Banana
object_Peach	Pêssego
object_orange	Laranja
object_carrot	Cenoura
object_cabbage	Repolho
object_potato	Batata
object_tomato	Tomate
object_barley	Cevada
object_wheat	Trigo
object_corn	Milho
object_organicwaste	Lixo orgânico

object_SolarPanels	Painéis solares
object_Transformer	Transformador
object_WindTurbine	Turbina eólica
object_SolarWindHybrid	Híbrido solar-eólico
object_Battery	Bateria
object_PowerExportMeter	Medidor de exportação de energia
object_PracticeSolarPanel	Painel solar de teste

object_TallFridge	Geladeira alta
object_StorageShelf	Prateleira de armazenamento
object_CropSprinkler	Aspersor de irrigação
object_DripPipe	Gotejador de irrigação

object_compostbin	Composteira
object_RecyclingBin	Lixeira de reciclagem
object_RecyclingBag	Bolsa reciclável

object_GardenGnome	Gnomo de jardim
object_TopiaryBush	Arbusto de topiaria
object_TopiaryBushBall	Arbusto de topiaria (esfera)
object_TopiaryBushWarden	Arbusto de topiaria (diretor)
object_TopiaryBushSwan	Arbusto de topiaria (cisne)
object_TopiaryBushDeer	Arbusto de topiaria (cervo)
object_TopiaryBushDog	Arbusto de topiaria (cachorro)
object_TopiaryBushCat	Arbusto de topiaria (gato)
object_TopiaryBushRex	Arbusto de topiaria (rex)
object_SolarLight	Luz (solar)

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	Roseira
object_FlowerSunflower	Girassol
object_FlowerMixedBegonias	Begônias mistas
object_FlowerHeatherBushes	Urzes
object_FlowerHydrangeaPlant	Hortênsia (planta)

object_FlowerRoseBushSeed	Semente de roseira
object_FlowerSunflowerSeed	Semente de girassol
object_FlowerMixedBegoniasSeed	Semente de begônia
object_FlowerHeatherBushesSeed	Semente de urze
object_FlowerHydrangeaPlantSeed	Semente de hortênsia

object_BarnDoor	Porta do celeiro
object_WhitePicketGate	Portão branco de estacas
object_DoubleDoor	Porta dupla
object_DoubleStaffDoor	Porta dupla de serviço
object_DoubleVisitorDoor	Porta dupla de visitante
object_SellUtility	Vender utilitário
object_dumpObject	Descartar objeto

d11_construction_sellUtility	Vender utilitário

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	Espátula
equipment_handFork	Garfo de jardinagem
equipment_HerbPlant	Drogas
equipment_Kicker	Agente
equipment_Drink	Bebida
equipment_BoozeBag	Saco de bebida
equipment_Orange	Laranja
equipment_ProducedDrugs	Drogas produzidas
equipment_ProducedBooze	Bebidas produzidas
equipment_ProducedNarcotics	Entorpecentes produzidos

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	Lote de legumes e verduras
room_FruitOrchard	Pomar
room_FarmingField	Campo de cultivo
room_pantry	Despensa

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	Jardim florido
quickbuild_grove	Bosque
quickbuild_hedgeMaze	Labirinto de cercas vivas
quickbuild_yard	Pátio

buildtoolbar_quickbuild_flowerGarden	Área tranquila para o descanso dos seus detentos.
buildtoolbar_quickbuild_grove	Um grupo de árvores, que serve para dar mais vida ao seu terreno.
buildtoolbar_quickbuild_hedgeMaze	Labirinto básico criado usando cercas vivas para nossos prisioneiros explorarem.
buildtoolbar_quickbuild_yard	Pátio comum com tudo que nossos detentos possam precisar.


# =============================================================================
# Carousel - Hint strings
# =============================================================================

#console only
buildtoolbar_popup_room_FlowerField	Um gramado com belas flores vicejantes.
#

buildtoolbar_popup_mat_ReclaimedWoodWall	Paredes de madeira criadas reutilizando materiais antigos.
buildtoolbar_popup_mat_BottleWall	Paredes bonitas e coloridas criadas reutilizando materiais antigos.
buildtoolbar_popup_mat_WhitePicketFence	Ótimo para proteger seus jardins floridos, mas não é eficaz na contenção dos prisioneiros.
buildtoolbar_popup_mat_ReclaimedBrickFloor	Piso com padrão de espinha de peixe criado reutilizando materiais antigos.
buildtoolbar_popup_mat_ReclaimedRubberFloor	Piso de borracha criado reutilizando materiais antigos.

buildtoolbar_popup_obj_shed	Área para guardar todas as suas sementes, ferramentas e itens de cultivo. Também conta com uma torneira para irrigação básica.
buildtoolbar_popup_obj_BasicAutoGatherer	Ativa a cada 6 horas para reunir e armazenar todos os ingredientes em uma área 5x5.
buildtoolbar_popup_obj_AdvanceAutoGatherer	Ativa a cada 6 horas para reunir e armazenar todos os ingredientes em uma área 10x10.
buildtoolbar_popup_obj_AutoHarvester	Ativa a cada 6 horas, colhendo todas as plantações em uma área de 10 blocos à frente. A colheita pode ser bloqueada por paredes e portas.
buildtoolbar_popup_obj_AutoScythe	Ferramenta agrícola robótica que ativa a cada 6 horas no jogo para colher todas plantações em uma área 5x5.

buildtoolbar_popup_room_pantry	Espaço para armazenar frutas, legumes e verduras. Refrigerado para manter os ingredientes produzidos na prisão bem preservados.
buildtoolbar_popup_room_VegetableAllotment	Espaço para cultivar legumes e verduras. Os vegetais cultivados podem ser usados em refeições dos prisioneiros e vendidos como exportações.
buildtoolbar_popup_room_FarmingField	Espaço para cultivar cereais e grãos. As colheitas podem ser vendidas como exportações.
buildtoolbar_popup_room_FruitOrchard	Espaço para cultivar árvores frutíferas. Elas continuam dando frutos depois da primeira colheita e podem ser usadas em refeições de prisioneiros ou vendidas como exportações.
buildtoolbar_popup_room_flowergarden	Área recreativa de jardim para os detentos cultivarem e cuidarem de plantas.

buildtoolbar_popup_obj_CropCarrotPlant	Cultive suas próprias cenouras com este pacote de 20 sementes que geram, geralmente, 1 ingrediente ao colher. As cenouras colhidas podem ser vendidas a $4/cada.
buildtoolbar_popup_obj_CropPotatoPlant	Cultive suas próprias batatas com este pacote de 20 sementes que geram, geralmente, 3 batatas ao colher. As batatas colhidas podem ser vendidas a $3/cada.
buildtoolbar_popup_obj_CropTomatoPlant	Cultive seus próprios tomates com este pacote de 10 sementes que geram, geralmente, 5 tomates ao colher. Os tomates colhidos podem ser vendidos a $4/cada.
buildtoolbar_popup_obj_CropCabbagePlant	Cultive seus próprios repolhos com este pacote de 30 sementes que geram, geralmente, 1 ingrediente ao colher. Os repolhos colhidos podem ser vendidos a $4/cada.
buildtoolbar_popup_obj_CropAppleTree	Transforma-se em uma árvore que passa a gerar maçãs! Comprada em pacotes de 5 sementes. Cada árvore costuma render 10 maçãs. As maçãs colhidas podem ser vendidas por $4/cada.
buildtoolbar_popup_obj_CropBananaTree	Transforma-se em uma árvore que passa a gerar bananas! Comprada em pacotes de 5 sementes. Cada árvore costuma render 16 bananas. As bananas colhidas podem ser vendidas por $6/cada.
buildtoolbar_popup_obj_CropPeachTree	Transforma-se em uma árvore que passa a gerar pêssegos! Comprado em pacotes de 5 sementes. Cada árvore costuma render 10 pêssegos. Os pêssegos colhidos podem ser vendidos por $6/cada.
buildtoolbar_popup_obj_CropOrangeTree	Transforma-se em uma árvore que passa a gerar laranjas! Comprada em pacotes de 5 sementes. Cada árvore costuma render 8 laranjas. As laranjas colhidas podem ser vendidas por $3/cada.
