# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
buildtoolbar_deployment_Doctor	Asigna médicos a los sectores de tu prisión.
buildtoolbar_deployment_PrioritizeJanitor	Usa esta opción para priorizar el que los conserjes realicen su trabajo en zonas concretas. Si te falta personal, los conserjes intentarán cubrir primero las zonas prioritarias. Asigna 1, 2 o 3 conserjes para priorizar una zona.
buildtoolbar_deployment_PrioritizeGardener	Usa esta opción para priorizar el que los jardineros realicen su trabajo en zonas concretas. Si te falta personal, los jardineros intentarán cubrir primero las zonas prioritarias. Asigna 1, 2 o 3 jardineros para priorizar una zona.

researchtooltip_deployment2	Puedes asignar personal a sectores de la prisión directamente mediante el menú de Despliegue.
researchtooltip_prioritize	Puedes priorizar la asignación de personal a sectores de la prisión directamente mediante el menú de Despliegue.

interfacetopbar_tooltip_totalChefs	*X cocineros en total
interfacetopbar_tooltip_totalDoctors	*X médicos en total
interfacetopbar_tooltip_cook	Los cocineros que hay disponibles para trabajar en tu prisión
interfacetopbar_tooltip_doctor	Los médicos que hay disponibles para trabajar en tu prisión

interfacetopbar_tooltip_priorityStationed	*X trabajos prioritarios

interfacetopbar_tooltip_totalJanitors	*X conserjes en total
interfacetopbar_tooltip_totalGardeners	*X jardineros en total
interfacetopbar_tooltip_janitor	Los conserjes que hay disponibles para trabajar en tu prisión
interfacetopbar_tooltip_gardener	Los jardineros que hay disponibles para trabajar en tu prisión

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Prisioneros *W que transferir a *C:
reports_prisoners_transfer_ready	listo
reports_prisoners_transfer_wanting	deseado
reports_prisoners_transfer_button	APROBAR TODOS
reports_prsioners_transfer_numCells	(celdas disponibles: *X)

reports_transfers_offMessage	Puedes activar el traslado de prisioneros mediante los ajustes del mapa.
report_Transfer	Traslados

transfer_icon_tooltip	Usa las siguientes opciones para decidir qué criterios deben reunir los presos *X para ser trasladados a *Y. \nPuedes usar la columna de criterios de política para dificultar el proceso y otras opciones para descalificar tipos concretos de prisioneros de inmediato. \nNo todos los prisioneros quieren un traslado, especialmente los que tienen sentencias cortas, los que tienen un plan de fuga, o los que no consideran que las condiciones del otro sector son una gran mejora respecto a las actuales.
transfer_tooltip_onOff	Marca y desmarca para DES/ACTIVAR los sectores seleccionados.

transfer_description	Establece los criterios que deben reunir los presos para ser trasladados a un sector de menor seguridad más cómodo.
transfer_use	Criterios de transferencia de *X a *Y
transfer_behaviourtitle	Buen comportamiento
transfer_reformtile	Reforma
transfer_requiredtitle	Requerido
transfer_qualifiedcaption	Total de presos cualificados actuales
transfer_hopingcaption	Total de presos motivados para cualificarse
transfer_numPrisoners	*X prisioneros (*Y %)

transfer_title	Políticas de transferencia
transfer_criteria	Criterios de política
transfer_qualifying	Presos cualificados

transfer_behaviour_staffAssaults	Sin ataques a personal
transfer_behaviour_murders	Sin asesinatos
transfer_behaviour_murdersStuff	(de personal y de reclusos)
transfer_behaviour_escapeAttempts	Sin intentos de fuga
transfer_behaviour_contraband	Sin contrabando peligroso
transfer_behaviour_gangMembers	Prohibido para pandillas
transfer_behaviour_previousCrimes	Prohibido para crímenes previos:

transfer_behaviour_tooltip_staffAssaults	Para estar cualificado para el traslado, un preso no debe atacar al personal durante cierto número de días. Un número alto de días evitará el traslado de reclusos con tendencias violentas.
transfer_behaviour_tooltip_murders	Para estar cualificado para el traslado, un preso no debe haber matado ni a miembros del personal ni a otros reclusos durante cierto número de días. Un número alto de días evitará el traslado de los reclusos más peligrosos.
transfer_behaviour_tooltip_escapeAttempts	Para estar cualificado para el traslado, un preso no debe haber intentado fugarse durante cierto número de días.
transfer_behaviour_tooltip_contraband	Para estar cualificado para el traslado, un preso no debe haber sido descubierto llevando armas ni herramientas durante cierto número de días.
transfer_behaviour_tooltip_gangMembers	Elige si descalificar a TODOS los miembros de pandillas para el traslado o solo a ciertos rangos de las pandillas.
transfer_behaviour_tooltip_previousCrimes	Elige si descalificar a presos que hayan cometido ciertos delitos mediante las opciones de grupos de crímenes.

transfer_reform_tooltip_reoffending	Para estar cualificado para el traslado, un preso debe tener una probabilidad de reincidencia igual o inferior al porcentaje especificado. Un número bajo ayudará a que solo los presos de mejor comportamiento se cualifiquen.
transfer_reform_tooltip_programsPassed	Para estar cualificado para el traslado, un preso debe superar cierto número de programas. Un número más alto descalifica a los presos que no estén dispuestos a reformarse.

transfer_required_tooltip	Ajusta este valor para decidir si los presos deben reunir TODOS los criterios para el traslado o solo parte.

transfer_tooltip_uncheck	\nDesmarca para quitar este criterio de traslado.


transfer_reform_reoffending	% previsto de reincidencia
transfer_reform_programsPassed	Programas superados

transfer_required	Criterios necesarios

transfer_criteriaTime	durante *X día(s)

gangNone	Ninguna
gang_transfer_None	Ninguna
gang_transfer_Soldier	Todos
gang_transfer_Lieutenant	Lugarteniente, jefe
gang_transfer_Leader	Jefe

report_prisoner_approve	Aprobar
report_prisoner_approveAll	Aprueba el traslado de todos los presos que reúnen tus criterios a *X. La cantidad de presos transferidos dependerá también del número de celdas disponibles.

approveTransfer_title	Aprobar traslado
approveTransfer_message	Aprueba el traslado del recluso *F *S a *C
approveAllTransfer_message	Aprueba el traslado de todos los presos cualificados a *C.
approveAllTransfer_someMessage	Solo hay *X celda(s) libre(s) en *C. ¿Quieres trasladar *X preso(s) a *C?
approveTransfer_noFreeCells	No hay celdas libres para trasladar a los reclusos cualificados.

dialog_group	Grupo

transfer_pastCrimes_tooltip	Descalifica a los presos que tengan crímenes del grupo *X en su historial, incluyendo:
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	Usando la cinta de andar
action_PunchingBag	Usando saco de boxeo
action_Boxing	Usando cuadrilátero

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	Permite nuevas opciones de fuga para los presos. Ahora intentarán escalar muros para darse a la fuga.
codex_options_shadowcaption	Alternar sombras
codex_options_punishmentscaption	Registro y acciones por sector

codex_option_prisonerTransfer	Transferencia de reclusos
codex_tooltip_prisonerTransfer	La Transferencia de reclusos te permite establecer qué criterios debe reunir un recluso para que lo trasladen a un sector de menos seguridad en tu prisión. Dicho sector puede ofrecer más comodidades, instalaciones y otros privilegios. \n\nLos reclusos evaluarán las condiciones de su sector actual y del inmediatamente inferior para decidir si les compensa el traslado. Si es así, en función de sus características y necesidades decidirán si mejorar su conducta para reunir los requisitos que establezcas.\n\nCada sector tiene un grado en función de los privilegios e instalaciones que ofreces a los reclusos del mismo. Cuanto mayor sea la "diferencia" entre un sector y el inmediatamente inferior, más presos querrán el traslado.\n\nSi un prisionero reúne tus requisitos para la transferencia, sigue dependiendo de que apruebes el traslado.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	Haciendo ejercicio
action_PlayChess	Jugando al ajedrez
action_EatSnack	Comprando comida

report_staff_multidelete	Usa clic izquierdo para despedir a un empleado o mantén y arrastra para despedir a varios a la vez.

codex_language_unsupported	---YA NO SE ACTUALIZA---
codex_language_mod	---MODS DE IDIOMA DE LA COMUNIDAD---

codex_language_unsupportedString	Este idioma no es oficialmente compatible y puede que falten traducciones.

report_policy_privilegesUnchangableTooltip	Este nivel de seguridad tiene bloqueadas sus políticas de privilegios.
transfer_review	Revisar traslados
reports_prisoners_transfer_otherPrisoners	*X reclusos más
approveTransfer_noFreeCells	No hay celdas disponibles para transferir a los prisioneros. Construye más celdas de este nivel de seguridad para poder efectuar el traslado.
prisoner_roomquality_veryLow	Muy baja
prisoner_roomquality_low	Baja
prisoner_roomquality_high	Alta
prisoner_roomquality_veryHigh	Muy alta
prisoner_roomquality_supreme	Sublime
report_policy_matchTitle	Coincidir sectores de seguridad
report_policy_match_tooltip	Ajusta la política de mala conducta de *X a la de otro sector de seguridad.
report_intake_cat_PrisonerTransfer	¡Prisionero legendario!

object_barbedwire	Alambre de espino
object_roadbarrier	Barricada vial
buildtoolbar_popup_obj_roadbarrier	Una barricada para cortar el tráfico y detener incluso a camiones. Solo se cierra durante el confinamiento.

buildtoolbar_popup_help_Orderly_1	Los ordenanzas son expertos en atender a los prisioneros con problemas mentales.\n
buildtoolbar_popup_help_Orderly_2	Sus rasgos son similares a los de los guardias y los médicos, pero no proyectan un efecto de represión sobre los presos (los guardias normales sí). \n\n
buildtoolbar_popup_help_Orderly_3	Contrata ordenanzas para atender a tus presos con problemas mentales. Los ordenanzas:
buildtoolbar_popup_help_Orderly_4	- Ayudan a recibir presos con problemas mentales.
buildtoolbar_popup_help_Orderly_5	- Escoltan a los presos con problemas mentales a las sesiones de consulta psiquiátrica (Programas).
buildtoolbar_popup_help_Orderly_6	- Curan a los prisioneros con problemas mentales.
buildtoolbar_popup_help_Orderly_7	- Sedan a los reclusos con problemas mentales que se vuelvan violentos.
buildtoolbar_popup_help_Orderly_8	- Colocan camisas de fuerza a los presos con problemas mentales por la noche.

buildtoolbar_popup_help_Psychiatrist_1	Los psiquiatras proporcionan consultas individuales regulares a los presos con problemas mentales.
buildtoolbar_popup_help_Psychiatrist_2	Cada psiquiatra necesita su propia oficina del psiquiatra.
buildtoolbar_popup_help_Psychiatrist_3	Las sesiones de consulta psiquiátrica (Programas) pueden organizarse para que los psiquiatras traten a los presos con problemas mentales.
buildtoolbar_popup_help_Psychiatrist_4	También puedes mejorar las oficinas de psiquiatra con objetos nuevos para mejorar el tratamiento.

rapsheet_action	Acciones
codex_settings_escapeplans	Activar planes de fuga.

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	Muelle (Madera)
material_waterBed	Lecho de agua
material_WaterShallow	Agua (poco profunda)
material_WaterLarge	Agua (Grande)
material_WaterWalkable	Agua (atravesable a pie)

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	Muelle de ferry
object_FerryBoat	Ferry de transporte
object_SupplyBoat	Barco de suministros
object_PrisonBoat	Ferry de presos
object_VisitorBoat	Barco de visitantes
object_VisitorHeli	Helicóptero de visitantes
object_SupplyHeli	Helicóptero de suministros
object_PrisonHeli	Helicóptero de prisión
object_FireHeli	Bomberos aéreos
object_EliteOpsHeli	Unidad de élite
object_SoldiersHeli	Guardia nacional
object_HearseBoat	Barco fúnebre
object_HearseHeli	Helicóptero fúnebre
object_ParamedicsHeli	Paramédicos aéreos
object_Helipad	Helipuerto
object_BoatDock	Muelle de barcos
object_EliteOps	Operaciones de élite


object_Fountain	Fuente
object_SteppingStoneLillyPad	Piedras para cruzar (nenúfares)
object_SteppingStoneIceBlock	Piedras para cruzar (hielo)
object_SteppingStone	Piedras para cruzar
object_SteppingStonePallet	Piedras para cruzar (palé)
object_ScannerMonitor	Monitor de escáner
object_ScannerMachine	Escáner
object_CheckPoint	Punto de control

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	Parcela isleña
codex_option_islandBridge	Parcela isleña Conectada

codex_tooltip_islandNoBridge	Genera una parcela inicial de tierra rodeada de agua. La parcela usará un muelle de barcos en vez de una carretera.
codex_tooltip_islandBridge	Genera una parcela inicial de tierra rodeada de agua con un puente conectado a la carretera.

mutator_name_DynamicReputations	Reputaciones dinámicas
mutator_tooltip_DynamicReputations	Los prisioneros pueden ganar o perder rasgos de reputación durante su estancia en prisión en función de sus actividades y experiencias.

interfacelogistics_deliverytargeting	Entregas
d11_logistic_select_delivery_method	Selecciona entrega
interfacelogistics_vehiclepurpose	Transporte

buildtoolbar_Logistics_DeliveryTargeting	Conecta las zonas de entrega, basura y exportación a helipuertos, muelles y la carretera. Al hacerlo, podrás establecer dónde recibes entregas y desde dónde salen las exportaciones.
buildtoolbar_Logistics_VehiclePurpose	Controla qué servicios llegan a qué muelles, helipuertos o la carretera. Al hacerlo podrás organizar la llegada de recursos y reclusos a distintas zonas de la prisión por mar y aire.

d11_logistics_transportTitle	Preferencias de transporte
d11_logistics_purpose_group_0	Entregas entrantes
