# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
transfer_pastCrimes_tooltip	전과 기록에 *X(이)가 있는 그룹의 죄수를 허용하지 않음
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	러닝 머신 사용
action_PunchingBag	펀치백 사용
action_Boxing	복싱 링 사용

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	죄수에게 더 많은 탈출 옵션을 허용합니다. 지금부터 죄수들이 탈출을 시도할 때 암벽 등반을 시도합니다.
codex_options_shadowcaption	그림자 따라가기
codex_options_punishmentscaption	구역별 수색 및 작업

codex_option_prisonerTransfer	죄수 이감
codex_tooltip_prisonerTransfer	죄수 이감은 교도소 내에서 더 보안 등급이 낮고 더 편안하며 시설 및 특혜를 제공하는 곳으로 이감하거나 업그레이드할 수 있는 재소자의 조건을 설정합니다.\n\n재소자는 현재 구역과 등급이 낮은 구역의 조건을 비교하여 이감 희망 여부를 결정합니다. 이감을 원하는 경우 욕구 및 특성에 따라 행동을 개선하고 이감 정책을 따르려 합니다.\n\n각 구역은 해당 구역의 재소자에게 제공되는 특혜 및 시설에 따라 등급이 결정됩니다. 현재 구역 및 등급이 낮은 구역의 '차이'가 클수록 더 많은 죄수가 이감을 희망합니다.\n\n죄수가 이감 조건을 만족하더라도 이감을 결정하는 건 여러분입니다.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	운동 중
action_PlayChess	체스 중
action_EatSnack	간식 섭취 중

report_staff_multidelete	왼쪽 버튼을 한 번 클릭하면 직원 한 명을, 드래그하면 여러 직원을 배치합니다.

codex_language_unsupported	---업데이트 없음---
codex_language_mod	---커뮤니티 생성 언어 모드---

codex_language_unsupportedString	이 언어는 공식 지원되지 않으므로 일부 번역이 누락될 수 있습니다.

report_policy_privilegesUnchangableTooltip	이 보안 수준으로 특혜 수준이 잠금 처리됩니다.
transfer_review	이감 검토
reports_prisoners_transfer_otherPrisoners	*X명의 기타 죄수
approveTransfer_noFreeCells	죄수들을 이감시킬 빈 감방이 없습니다. 이 보안 수준의 감방을 더 만들어 이감을 승인합니다.
prisoner_roomquality_veryLow	매우 낮음
prisoner_roomquality_low	낮음
prisoner_roomquality_high	높음
prisoner_roomquality_veryHigh	매우 높음
prisoner_roomquality_supreme	가장 높음
report_policy_matchTitle	보안 구역 매칭
report_policy_match_tooltip	*X 불법행위 정책을 다른 보안 구역과 매칭시킵니다.
report_intake_cat_PrisonerTransfer	전설적인 죄수!

object_barbedwire	철조망
object_roadbarrier	도로차단벽
buildtoolbar_popup_obj_roadbarrier	가속 트럭도 중지시킬 수 있는 견고한 도로차단벽. 폐쇄 중에만 닫힙니다.

buildtoolbar_popup_help_Orderly_1	잡역부는 정신 이상 범죄 재소자들에게 맞춤화된 특수 교육을 받았습니다. \n
buildtoolbar_popup_help_Orderly_2	간수 및 의사와 비슷한 특성을 가지고 있지만 정규 간수처럼 재소자에 대한 억제 효과는 보여주지 않습니다. \n\n
buildtoolbar_popup_help_Orderly_3	잡역부를 고용해 정신 이상 범죄 재소자를 맡기십시오. 잡역부는 다음과 같은 일을 합니다.
buildtoolbar_popup_help_Orderly_4	-정신 이상 범죄 재소자들의 입소를 돕습니다.
buildtoolbar_popup_help_Orderly_5	-정신 이상 범죄 재소자를 정신과 상담 세션(프로그램)으로 호송합니다.
buildtoolbar_popup_help_Orderly_6	-정신 이상 범죄 재소자를 치료합니다.
buildtoolbar_popup_help_Orderly_7	-정신 이상 범죄 재소자가 폭력적으로 변하면 진정세를 놓습니다.
buildtoolbar_popup_help_Orderly_8	-야간에 정신 이상 범죄 재소자에게 구속복을 입힙니다.

buildtoolbar_popup_help_Psychiatrist_1	정신과 의사는 정기적인 1대1 상담을 정신 이상 범죄 재소자들에게 제공합니다.\n\n
buildtoolbar_popup_help_Psychiatrist_2	각각 특수 정신과 의사 사무실이 필요합니다.
buildtoolbar_popup_help_Psychiatrist_3	정신과 의사 상담 세션(프로그램)을 설정해 정신과 의사가 정신 이상 범죄 재소자들을 치료할 수 있습니다.
buildtoolbar_popup_help_Psychiatrist_4	치료 개선을 위해 정신과 의사의 사무실을 새 아이템들로 업그레이드할 수 있습니다.

rapsheet_action	행동
codex_settings_escapeplans	탈옥 계획 사용 가능

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	선착장 (나무)
material_waterBed	물침대
material_WaterShallow	물 (얕음)
material_WaterLarge	물 (깊음)
material_WaterWalkable	물 통행 가능

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	연락선 선착장
object_FerryBoat	수송 연락선
object_SupplyBoat	보급 보트
object_PrisonBoat	재소자 수송 연락선
object_VisitorBoat	방문객 보트
object_VisitorHeli	방문객 헬리콥터
object_SupplyHeli	보급 헬리콥터
object_PrisonHeli	교도소 헬리콥터
object_FireHeli	항공 소방대
object_EliteOpsHeli	엘리트 작전부대
object_SoldiersHeli	주 방위군
object_HearseBoat	영구차 보트
object_HearseHeli	영구차 헬리콥터
object_ParamedicsHeli	항공 응급구조대
object_Helipad	헬리패드
object_BoatDock	보트 선착장
object_EliteOps	엘리트 작전

object_Fountain	분수
object_SteppingStoneLillyPad	징검돌 (수련 잎)
object_SteppingStoneIceBlock	징검돌 (얼음)
object_SteppingStone	징검돌
object_SteppingStonePallet	징검돌 (팔레트)
object_ScannerMonitor	스캐너 모니터
object_ScannerMachine	스캐너 기계
object_CheckPoint	검문소

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	섬 땅
codex_option_islandBridge	연결된 섬 땅

codex_tooltip_islandNoBridge	물로 둘러싸인 섬 시작 지역을 생성합니다. 이 지역은 도로 대신 보트 선착장을 사용합니다.

codex_tooltip_islandBridge	물로 둘러싸인 섬 시작 지역을 생성합니다. 이 지역은 도로와 연결된 다리가 있습니다.

mutator_name_DynamicReputations	역동적인 평판
mutator_tooltip_DynamicReputations	재소자들은 교도소 내에서 어떤 활동과 경험을 하며 시간을 보내는지에 따라 독특한 평판 특성을 얻거나 잃을 수도 있습니다.

interfacelogistics_deliverytargeting	배달
d11_logistic_select_delivery_method	배달 선택
interfacelogistics_vehiclepurpose	수송

d11_logistics_transportTitle	수송 우선권
d11_logistics_purpose_group_0	반입되는 배달
d11_logistics_transport_deliveries_hint	이곳으로 배달 받을 품목을 선택하세요.
d11_logistics_purpose_group_0_item_1	건축 자재
d11_logistics_purpose_group_0_item_2	식자재
d11_logistics_purpose_group_0_item_3	우편물
d11_logistics_purpose_group_0_item_4	작업장 자재
d11_logistics_purpose_group_1	이송 받는 죄수
d11_logistics_transport_prisoners_hint	입소자 중 이곳으로 이송 받을 죄수를 선택하세요.
d11_logistics_purpose_group_1_item_1	저위험도
d11_logistics_purpose_group_1_item_2	중위험도
d11_logistics_purpose_group_1_item_3	고위험도
d11_logistics_purpose_group_1_item_4	사형수
d11_logistics_purpose_group_1_item_5	정신 이상
d11_logistics_purpose_group_2	입도하는 민간인
d11_logistics_transport_civilians_hint	방문객과 교사가 이곳에 도착할 수 있는지 선택하세요.
d11_logistics_purpose_group_3	반출되는 품목
d11_logistics_transport_exports_hint	이곳을 통해 교도소에서 반출되는 품목을 선택하세요.
d11_logistics_purpose_group_3_item_1	쓰레기
d11_logistics_purpose_group_3_item_2	출하품
d11_logistics_purpose_toggle	끄거나 켜기
d11_logistics_purpose_toggle_1	전부 끄거나 켜기
d11_logistics_purpose_toggle_on	(켜기)
d11_logistics_purpose_toggle_off	(끄기)

d11_room_error_no_link	하역 차단됨. 배달과 수송 물류 설정을 확인해주세요.

d11_hover_change	[[*L]] 변경

water_amount	수위 *X%
ferry_timer	*X 후에 출항함
ferry_warning	출항 차단됨

d11_hover_dismiss_vehicle	[[*S]] 해산
d11_hover_depart_vehicle	[[*S]] 출항
interface_action_dismissVehicle	차량 해산하기
d11_hover_dismiss_vehicle_desc	공간 확보를 위해 차량을 해산하시겠습니까?
d11_hover_dismiss_helicopter_desc	헬리콥터를 해산하시겠습니까?
d11_hover_dismiss_ferry_desc	연락선을 일찍 출항하시겠습니까?

d11_hover_fight_fires	[[*X]] 화재 진압하기
interface_action_fightFires	화재 진압하기
d11_hover_fight_fires_desc	이륙하여 화재 진압을 하시겠습니까?

d11_hover_land_heli	[[*S]] 착륙하기
interface_action_landheli	헬리콥터 착륙시키기
d11_hover_land_heli_desc	헬리패드에 헬리콥터를 착륙시키시겠습니까?

d11_hover_eliteOps_select	[[*X]] 헬리콥터 지휘하기

d11_hover_deploy_squad	[[*X]] 배치(대기)하기
interface_action_deploySquad	분대 배치하기
d11_hover_deploy_squad_desc	헬리콥터 아래로 분대를 배치하시겠습니까?

interfacemode_floors	바닥재
interfaceoverlay_landscape	조경




d11_hover_quantity	x *X

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock	2개의 연락선 선착장을 지어서 섬들을 평행하게 연결하면 섬을 오가는 수송수단으로 사용할 수 있습니다. 두 곳의 연락선 선착장을 짓기 위해서는 육지가 평행하게 있어야 합니다.
buildtoolbar_popup_obj_BoatDock	교도소의 선착장에 보트를 정박하고, 새 죄수들을 이송하고, 물자를 배달 받기 위해서 필요합니다.
buildtoolbar_popup_obj_Helipad	교도소 내로 헬리콥터가 착륙하고, 새 죄수들을 이송하고, 물자를 배달 받고, 특별한 항공 긴급서비스를 호출하기 위해 필요합니다.

buildtoolbar_popup_obj_DeckChair	갑판에서 편안하게 누워 일광욕을 합니다.\n - 편안함 욕구에 적합합니다.

buildtoolbar_popup_obj_Fountain	물에 설치하여 마음을 편안하게 해주는 분수를 만듭니다.

buildtoolbar_popup_obj_SteppingStoneLillyPad	재소자와 직원이 물을 건널 수 있는 통로를 만듭니다.\n \n실외 전용.\n \n물에서만 설치 가능.
buildtoolbar_popup_obj_SteppingStone	재소자와 직원이 물을 건널 수 있는 통로를 만듭니다.\n \n실외 전용.\n \n물에서만 설치 가능.
buildtoolbar_popup_obj_SteppingStoneIceBlock	재소자와 직원이 물을 건널 수 있는 통로를 만듭니다.\n \n실외 전용.\n \n물에서만 설치 가능.
buildtoolbar_popup_obj_SteppingStonePallet	재소자와 직원이 물을 건널 수 있는 통로를 만듭니다.\n \n실외 전용.\n \n물에서만 설치 가능.
buildtoolbar_popup_uts_ScannerMonitor	스캐너 기계에 연결되어 있을 때 교도관이 밀반입품을 적발할 수 있는 모니터. 교도관의 피로도에 따라 밀반입품 적발 능력이 달라집니다
buildtoolbar_popup_uts_ScannerMachine	배달 구역과 창고 구역에서 사용하는 기계. 밀반입품 검사를 위해 나무 상자를 스캔합니다. 교도관이 밀반입품 적발을 하려면 기계가 반드시 스캐너 모니터에 연결되어 있어야 합니다. 교도관의 피로도에 따라 밀반입품 적발 능력이 달라집니다.
buildtoolbar_popup_obj_Checkpoint	통과하는 죄수와 방문객의 몸수색을 할 수 있는 검문소. 죄수는 오직 한 방향으로만 검문소를 통과할 수 있습니다. \n-반드시 교도관이 상주해야 함.
buildtoolbar_popup_mat_waterShallow	얕은 물 지역을 만들어 모래와 물 바닥재 중간에 멋진 해안가를 만듭니다. 일반적인 물과는 달리 이 타일에서는 걸어 다닐 수 있습니다.
buildtoolbar_popup_mat_waterLarge	호수, 바다, 깊은 물 지역을 만듭니다.
buildtoolbar_popup_mat_WoodenDockFloor	단단한 통나무 바닥재. 선착장 구역에 적합합니다.

landscape_hint	(물 위에 건설 가능)

d11_emergencies_hints_fire_heli	x*A 소방대원이 탑승한 헬리콥터. - $*B
d11_squad_name_FireHeli	항공 소방대
d11_emergencies_hints_paramedics_heli	x*A 응급대원이 탑승한 헬리콥터. - $*B
d11_squad_name_AirParamedics	항공 응급구조대
d11_emergencies_hints_eliteOps_heli	x*A 엘리트 작전부대원이 탑승한 헬리콥터. - $*B
d11_squad_name_EliteOps	엘리트 작전부대


interfacecallout_FireHeli	항공 소방대
interfacecallout_EliteOps	엘리트 작전부대
interfacecallout_AirParamedics	항공 응급구조대
interfacecallout_AirSoldiers	항공 지원 군인

buildtoolbar_Logistics_DeliveryTargeting	배달, 쓰레기, 출하품 구역을 헬리패드, 선착장, 도로와 연결하세요. 어디로 배달 받을 것인지, 어떻게 출하품이 교도소 밖으로 반출될지를 결정할 수 있습니다.
buildtoolbar_Logistics_VehiclePurpose	각 선착장, 헬리패드, 도로에서 어떤 서비스가 처리될지 결정합니다. 특정 물품이나 죄수를 교도소 주변의 다양한 위치에서 해상과 항공으로 수송 받을 수 있습니다.


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	육지와 선박 항로 간 방해물 없는 연결이 필요합니다.
delivery_hover_hint	물류 > 수송 메뉴에서 *X의 목적을 조정할 수 있습니다.
ferryDock_placement_hint	이동할 수 있는 평행한 육지가 필요합니다.
transportZones_hover_hint	물류 메뉴를 통해 헬리패드, 선착장, 도로에 연결하세요.


# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_OutdoorLake	야외 호수
quickbuild_River	강

# =============================================================================
# CODEX - Menu Entries
