# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
d11_transformer_output_power	Zużycie energii: *X jedn.
d11_transformer_spare_power	Bieżąca nadwyżka energii: *X jedn.

d11_powerstation_power_prouduction	Bieżąca moc wyjściowa: *X jedn.
d11_powerstation_max_capacity	Maksymalna produkcja energii: *X jedn.

d11_greenpower_positive_weather_effect	Obecna pogoda ma pozytywny wpływ na produkcję energii.
d11_greenpower_negative_weather_effect	Obecna pogoda ma negatywny wpływ na produkcję energii.

d11_powerexportmeter_sell_desc	Eksportowana energia:
finances_category_power_export	Eksportowana energia
d11_powerexportmeter_powertosell	Wynagrodzenie: *X $

d11_battery_charge_text	Poziom naładowania: *X%
d11_battery_charging	Ładowanie
d11_battery_discharging	Rozładowanie


misconduct_reporttype_ProducedNarcotics	Wyprodukowane narkotyki
contraband_Produced	Wyprodukowane narkotyki


research_farming	Rolnictwo
d11_researchhint_s_farming	Odblokowuje zaawansowane technologie i sprzęt rolniczy, a także droższe rośliny uprawne.

research_RecyclingIncentive	Program zachęcający do recyklingu
researchtooltip_RecyclingIncentive	Część inicjatywy rządowej „Zielono mi”; codziennie płaci więzieniu 10 $ za każdy worek ze zgromadzonymi odpadami do recyklingu.
d11_researchhint_l_RecyclingIncentive	Dzięki inicjatywie rządowej „Zielono mi” prawidłowa utylizacja odpadów będzie wynagradzana pieniężnie. Więzienie otrzyma 10 $ za każdy worek ze zgromadzonymi odpadami do recyklingu.

interface_action_AllSwitchOn	Wszystko wł.
interface_action_AllSwitchOff	Wszystko wył.

d11_utilitylimits_head	Źródła zasilania
d11_utilitylimits_body	Zarówno ekologiczne (panele słoneczne, turbiny wiatrowe, hybrydy słoneczno-wiatrowe), jak i standardowe źródła zasilania (stacje i transformatory) są ograniczone do 128 szt. dla każdego typu. Jeśli chcesz kupić więcej źródeł zasilania po osiągnięciu tego limitu, najpierw musisz pozbyć się istniejących źródeł zasilania.

# =============================================================================
# Crops
# =============================================================================

d11_plant_crop	Zbierz plon
d11_plant_crop_location	Zbierz plon za *X
d11_wiltedCrop	Uschnięty plon
d11_wiltedCropDesc	Ten plon nie był podlewany przez *X dni i do niczego się nie nadaje. Zostanie przeniesiony do najbliższego kosza na odpady lub do kompostownika, aby przerobić go na nawóz.
d11_crop_time_to_yield	Czas do zbiorów: *X godz.
d11_fertilized	Nawieziono
d11_tampered	Naruszono
d11_needsWater	Plony do wzrostu potrzebują podlewania
d11_hover_compostbin	Zebrane odpady

job_WaterCrop	Podlewa plony
job_HarvestCrop	Zbiera plony
job_TendCrop	Dba o plony


d11_plant_flower	Zasadź kwiat
d11_plant_flower_location	Zasadź kwiat w: *X

job_WaterFlower	Podlewa kwiat
job_TendFlower	Dba o kwiat


d11_crop_stage_seedling	Sadzonka
d11_crop_stage_sapling	Młode drzewko
d11_crop_stage_immature	Niedojrzałe
d11_crop_stage_mature	W rozkwicie
d11_crop_stage_ripe	Dojrzałe
d11_continuous_planting	Ciągłe sadzenie

# =============================================================================
# Objectives
# =============================================================================

objective_grant_greenMachine	Zielona maszyna
objective_grant_greenMachine_description	Czas, aby przemysł więzienny wziął się poważnie za ekologię! Kup ekologiczne źródła zasilania, aby promować zielony styl życia.
objective_grant_greenMachine_solar	Kup i zainstaluj panel słoneczny
objective_grant_greenMachine_wind	Kup i zainstaluj turbinę wiatrową
objective_grant_greenMachine_hybrid	Kup i zainstaluj hybrydę słoneczno-wiatrową

objective_grant_ecoFriendly	Przyjazne dla środowiska
objective_grant_ecoFriendly_description	Czas przyjrzeć się naszemu śladowi węglowemu. Bank nagrodzi cię za rezygnację ze standardowych stacji zasilania na rzecz zielonych alternatyw.
objective_grant_ecoFriendly_days	Przez pięć dni używaj w więzieniu tylko ekologicznych źródeł zasilania.

objective_grant_givingSomethingBack	Daj coś od siebie
objective_grant_givingSomethingBack_description	Produkujesz nadmierną ilość energii. Bank będzie bardzo wdzięczny, jeśli podzielisz się z krajową, regionalną bądź lokalną siecią zasilania.
objective_grant_givingSomethingBack_sell	Sprzedaj 2500 jednostek zasilania do sieci

objective_grant_basicFarming	Podstawy rolnictwa
objective_grant_basicFarming_description	Koszt i dostępność dostaw żywności staje się krajowym zmartwieniem. Udowodnij, że autonomiczny system produkcji żywności da się wprowadzić w więzieniu.
objective_grant_basicFarming_hire	Zatrudnij rolnika.
objective_grant_basicFarming_veg	Zbuduj funkcjonalną działkę warzywną.
objective_grant_basicFarming_fruit	Zbuduj funkcjonalny sad owocowy.
objective_grant_basicFarming_farm	Zbuduj funkcjonalne pole uprawne.
objective_grant_basicFarming_plant	Zasadź w każdym pomieszczeniu po 5 roślin dowolnego typu.

objective_grant_selfSustaining	Autonomia
objective_grant_selfSustaining_description	Czas udowodnić, że więzienia mogą być autonomiczne. Sprzedaj nadmierne plony, aby przyczynić się do rozwiązania problemu z dostawami żywności.
objective_grant_selfSustaining_hire	Zatrudnij 5 rolników
objective_grant_selfSustaining_buy	Kup 10 szt. kompostu.
objective_grant_selfSustaining_harvest	Zasadź 50 roślin uprawnych dowolnego typu.
objective_grant_selfSustaining_sell	Sprzedaj 50 zebranych roślin uprawnych dowolnego typu.
objective_grant_selfSustaining_collect	Zbierz 5 nasion z dowolnych roślin uprawnych.

objective_grant_AdvancedFarming	Zaawansowane rolnictwo
objective_grant_AdvancedFarming_description	Czas sprawdzić, czy więzienia mogą masowo produkować żywność, a nie tylko zapewnić sobie samowystarczalność.
objective_grant_AdvancedFarming_research	Zbadaj biurokrację rolniczą.
objective_grant_AdvancedFarming_assign	Przydziel 10 więźniów do pracy w pomieszczeniu rolniczym.
objective_grant_AdvancedFarming_buy	Kup rurę nawadniającą lub zraszacz do roślin.
objective_grant_AdvancedFarming_buy1	Kup kompostownik.
objective_grant_AdvancedFarming_produce	Wyprodukuj 10 szt. kompostu.
objective_grant_AdvancedFarming_harvest	Zbierz 500 szt. dojrzałych roślin uprawnych dowolnego typu.

objective_grant_overProduction	Nadprodukcja
objective_grant_overProduction_description	Udało ci się udowodnić, że masowa produkcja jest możliwa. Kończ poniższe zlecenia tak często, jak to możliwe. Zlecenia odnawiają się co 5 dni.
objective_grant_overProduction_carrot	Sprzedaj 50 zebranych marchwi.
objective_grant_overProduction_potato	Sprzedaj 50 zebranych ziemniaków.
objective_grant_overProduction_cabbage	Sprzedaj 50 zebranych główek kapusty.
objective_grant_overProduction_tomato	Sprzedaj 50 zebranych pomidorów.
objective_grant_overProduction_apple	Sprzedaj 50 zebranych jabłek.
objective_grant_overProduction_orange	Sprzedaj 50 zebranych pomarańczy.
objective_grant_overProduction_peach	Sprzedaj 50 zebranych brzoskwiń.
objective_grant_overProduction_banana	Sprzedaj 50 zebranych bananów.

# ======================================================
# To Do List Information
# ======================================================

objective_GoingGreenInfo	Zielono mi!
objective_GoingGreenInfo_child_1	Poniżej wymieniono główne cechy „Zielono mi”:

objective_HelpBasicFarming	Podstawy rolnictwa

objective_HelpBasicFarming_child_1	Pomieszczenia rolnicze
objective_HelpBasicFarming_child_1_Description	Istnieją 4 nowe pomieszczenia powiązane z rolnictwem: działka warzywna, pole uprawne, sad owocowy i spiżarnia. \n\nPierwsze trzy są wymagane do hodowli warzyw, zbóż i drzew owocowych, a spiżarnia jest potrzebna do przechowywania plonów. \n\nKażde z 3 głównych pomieszczeń rolniczych musi znajdować się na zewnątrz, wymaga szopy i wody do ręcznego podlewania roślin, jak również obszaru do przechowywania nasion i podobnych przedmiotów.


objective_HelpBasicFarming_child_2	Sadzenie roślin
objective_HelpBasicFarming_child_2_Description	Aby zasadzić rośliny, najpierw należy zbudować pomieszczenia rolnicze i zatrudnić rolników, aby zarządzali pracami rolniczymi. \n\nRośliny można sadzić tylko w odpowiednich pomieszczeniach. Rosną tylko na niektórych powierzchniach, takich jak: gleba, błoto, trawa, trawiasty narożnik lub kwieciste pole. \n\nPo pierwszym cyklu wzrostu plony można zautomatyzować w ramach polityki ciągłego sadzenia. \n\nJeśli chcesz zmienić typ roślin na inny, upewnij się, że ta polityka została wyłączona.


objective_HelpBasicFarming_child_3	Cechy roślin
objective_HelpBasicFarming_child_3_Description	Każdy z 3 głównych typów roślin ma inne cechy: zboża i warzywa dojrzewają jeden raz, a następnie trzeba zasiać je ponownie, ale drzewa owocowe ciągle rodzą owoce. \n\nWszystkie 3 typy plonów można przeznaczyć na eksport lub do przygotowywania posiłków.


objective_HelpBasicFarming_child_4	Korzyści płynące z plonów
objective_HelpBasicFarming_child_4_Description	Główną korzyścią płynącą z używania własnoręcznie hodowanych składników jest fakt, że wiążą się korzystnymi efektami po spożyciu. \n\nWięźniowie, którzy spożywają świeże składniki, szybciej zaspokajają głód. Dają one także niewielki wzrost w zakresie pozostałych potrzeb. \n\nWięźniowe spożywający posiłki złożone wyłącznie ze świeżych składników mogą uzyskać status „zdrowy”, który ma podobne efekty jak sesje terapeutyczne poświęcone odstawieniu alkoholu i narkotyków.

objective_HelpBasicFarming_child_5	Przechowywanie składników
objective_HelpBasicFarming_child_5_Description	W przeciwieństwie do standardowych składników, plony zebrane w więzieniu nie wymagają konserwantów. \n\nZebrane rośliny należy jednak przenieść do lodówki lub spiżarni, gdzie panuje niska temperatura. \n\nW przeciwnym razie zepsują się w ciągu 3 dni, a ich efekty po spożyciu i cena eksportowa ulegną obniżeniu.

objective_HelpAdvancedFarming	Zaawansowane rolnictwo

objective_HelpAdvancedFarming_child_1	Badania związane z rolnictwem
objective_HelpAdvancedFarming_child_1_Description	Nie wszystkie elementy związane z rolnictwem są dostępne od razu po rozpoczęciu nowej gry. \nNajpierw należy ukończyć zadanie „Rolnictwo”, aby uzyskać dostęp do:\n- Większych zbiorów\n- Opcji logistycznej związanej z dystrybucją plonów\n- Kompostu, wysokiej jakości nawozu i kompostownika \n- Pracy więźniów\n- Automatycznych zbiorów i podlewania.

objective_HelpAdvancedFarming_child_2	Dystrybucja plonów
objective_HelpAdvancedFarming_child_2_Description	Nowa opcja logistyczna umożliwia graczom wybranie miejsca, do którego po zbiorach są przenoszone plony, jak również współczynnik ich dystrybucji. \n\nGracze mogą także wybrać połączenia między spiżarniami i kuchniami. Jeśli z niego nie skorzystają, połączenia zostaną ustalone automatycznie w zależności od odległości.

objective_HelpAdvancedFarming_child_3	Nawóz
objective_HelpAdvancedFarming_child_3_Description	Istnieją dwa typy nawozów: kompost i nawóz wysokiej jakości. Oba służą do zwiększenia prędkości wzrostu roślin, dając także możliwość produkcji nasion po zbiorach. \n\nWysokiej jakości nawóz daje jeszcze lepsze efekty niż kompost, ale jest droższy. Kompost natomiast można wytwarzać samodzielnie w kompostowniku, używając odpadów roślinnych i spożywczych.

objective_HelpAdvancedFarming_child_4	Zautomatyzowane rolnictwo
objective_HelpAdvancedFarming_child_4_Description	Istnieją 3 typy prac rolniczych, które można zautomatyzować przy użyciu przedmiotów: podlewanie roślin, zbiory i gromadzenie.

objective_HelpGreenEnergy	Zielona energia

objective_HelpGreenEnergy_child_1	Rodzaje zielonej energii
objective_HelpGreenEnergy_child_1_description	Istnieją trzy nowe źródła energii ekologicznej, dzięki którym można przestać korzystać ze stacji elektrycznej. \n\nTurbiny wiatrowe \nPanele słoneczne \nTurbiny wiatrowe zasilane energią słoneczną \nPoczątkowo dostępne są tylko panele słoneczne. \n\nKażde źródło energii ekologicznej ma nieco inne właściwości, w tym moc wyjściową, ale w przeciwieństwie do stacji elektrycznych można je ze sobą łączyć maksymalnie 50 razy.

objective_HelpGreenEnergy_child_2	Efekty pogodowe
objective_HelpGreenEnergy_child_2_description	Pogoda może mieć pozytywny lub negatywny wpływ na każde źródło energii. \n\nEfekty te są oznaczone znakiem +/- lub ikoną po najechaniu na źródło energii. \n\nPrzykładowo, na panel słoneczny pozytywny wpływ ma bezchmurne niebo i fala upałów, \nale zachmurzone niebo, ulewny deszcz i mrozy mają na niego wpływ negatywny.

objective_HelpGreenEnergy_child_3	Transformatory i akumulatory
objective_HelpGreenEnergy_child_3_description	Ze względu na właściwości zielonej energii każde nowe źródło zasilania należy podłączyć do transformatora za pomocą kabli elektrycznych przed możliwością użycia energii do zasilania urządzeń. \n\nTransformator nie tylko przekształca zieloną energię w prąd użytkowy, lecz także może ładować dołączone akumulatory. \n\nEnergia przechowywana w akumulatorach może być używana w sytuacjach awaryjnych lub eksportowana poprzez miernik prądu na eksport.

objective_HelpGreenEnergy_child_4	Eksportowana energia
objective_HelpGreenEnergy_child_4_description	Miernik prądu na eksport można podłączyć do transformatora przy użyciu przewodów. Jeśli transformator posiada przyłączone akumulatory, energia w nich przechowywana może być codziennie sprzedawana na eksport. \n\nLimit eksportowy można zwiększać, kończąc określone zadania związane z zieloną energią.

objective_HelpGreenEnergy_child_5	Cele związane z zieloną energią
objective_HelpGreenEnergy_child_5_description	Różne cele związane z zieloną energią można znaleźć w menu dotacji. Kończąc te zadania, można zdobyć różne nagrody, w tym: \n\n- Podniesienie dziennego limitu energii na eksport \n- Odblokowanie dodatkowych źródeł energii \n- Zwiększenie wydajności źródeł zielonej energii.

objective_HelpNarcoticProduction	Produkcja narkotyków

objective_HelpNarcoticProduction_child_1	Produkcja alkoholu
objective_HelpNarcoticProduction_child_1_description	Więźniowie spełniający określone warunki mogą produkować własny alkohol. \n\nNajpierw muszą uzyskać dostęp do składników z pomieszczeń rolniczych, kuchennych lub automatów. \n\nNastępnie nocą w swoich celach będą przygotowywać składniki przed produkcją alkoholu, którego fermentacja trwa określoną liczbę dni.

objective_HelpNarcoticProduction_child_2	Produkcja narkotyków
objective_HelpNarcoticProduction_child_2_description	Produkcja narkotyków może odbywać się tylko w jednym pomieszczeniu, a mianowicie na polu uprawnym — więźniowie będą próbowali ukryć narkotyki w istniejących plonach. \n\nRośliny takie mają nieprzyjemny zapach i mogą zostać wykryte przez psy, ale obszary na których rosną nie będą podlegać kontroli, chyba że wydano taki rozkaz. Każda kontrola wiąże się z możliwością uszkodzenia roślin. \n\nPodczas zbiorów narkotyki zostaną odzyskane w przypadku, gdy plony będzie zbierał odpowiedni więzień. \n\nGangi mogą przejąć kontrolę nad polami uprawnymi, aby mieć wpływ na produkcję narkotyków.

# =============================================================================
