# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
Ingredients_UsageCaption_tooltip		Control the ratio between prison-grown produce and delivered ingredients used for meals, ingredients will be ordered if the stored amount doesn't suffice.
finance_cost_recycling								Recycling

research_farming							Farming
research_RecyclingIncentive					Recycling Incentive
researchtooltip_farming						Unlocks advanced Farming techniques and equipment, along with more expensive crops.

d11_wiltedCrop								Wilted Crop
d11_wiltedCropDesc							This crop was not watered for *X days and can no longer be restored, it will be moved to the closest bin, whether it’s a standard Bin as garbage or to a compost Bin to be turned into fertilizer

d11_check_ingredients_menu					Check the Ingredients menu for more details
d11_meal_cost_per_meal						$*X / meal
d11_meal_cost_total							Total price
d11_meal_estimated_price					Estimated price
d11_meal_quantity_description				Adjust the number of ingredients that each inmate can consume during their meals, from 1 to 3. This option controls the number of ingredients delivered based on the setting selected, the number of prisoners, and the current food supply.
d11_meal_variety_description				This option controls the number of ingredient types that are sent to the prison when a food delivery is made. Changing this option won’t affect the number of ingredients ordered, only the variety of ingredients and as such the costs of these ingredients.

#ingredient menu
d11_meal_system_description					The Prison's food system is based on 4 factors, the meal options (Variety and Quantity), the current number of prisoners, the number of meals each day, and the quantity of stored ingredients. Unlike imported ingredients though, which are full of preservatives, prison grown crops are much more beneficial when eaten and as such they will be prioritised by cooks. Statistics related to your prison’s ingredients and the food system can be found below.
d11_fresh_ingredients						Fresh ingredients
d11_imported_ingredients					Imported ingredients
d11_meal_ingredients_count_per_meal			Ingredients per meal
d11_meal_ingredients_count_per_day			Ingredients per day
d11_crops_per_day							Crops per day
d11_imported_ingredients_cost				Imported ingredients cost
d11_crop_cost								Crop cost

#Ingredient hints
d11_IngredientRatio_hint					Displays the current number of both ingredient types in storage
d11_meal_ingredients_count_per_meal_hint	The number of ingredients required to feed the current number of prisoners for a single meal, based on the meal options selected
d11_meal_ingredients_count_per_day_hint		The total number of ingredients required to feed the current number of prisoners today, based on the meal options selected
d11_crops_per_day_hint						The number of crops purchased in the last 24 Hours.
d11_imported_ingredients_cost_hint			The total cost for all ingredients purchased and delivered in the last 24 Hours
d11_crop_cost_hint							The total price for crops purchased in the last 24 Hours
d11_meal_cost_per_meal_hint					The average cost to feed one prisoner, using the meal options and privileges selected as reference
d11_meal_cost_total_hint					The total costs required to feed every prisoner each meal, using the meal options and the current prisoner population as reference
d11_meal_estimated_price_hint				The estimated total costs required to feed every prisoner. This value can only be estimated due to the number of external factors that affect it - including seed drops, crop growth times, and changing crop yields.	

#different on console
researchtooltip_RecyclingIncentive			Takes advantage of the Governments ‘Going Green’ initiative, awarding your Prison daily with $10 for each bag of recycling that’s collected.
#
# =============================================================================
# Jobs
# =============================================================================

job_WaterCrop								Watering Crop
job_HarvestCrop								Harvesting Crop
job_TendCrop								Tending Crop
job_SellUtility								Selling Utility
job_WaterFlower										Watering Flower
job_TendFlower										Tending Flower


job_failed_routetomaterial_blocked			Path between Material and Job blocked

# =============================================================================
# Grants
# =============================================================================
objective_grant_greenMachine						Green Machine
objective_grant_greenMachine_description			It’s time for the prison industry to jump onto the green energy bandwagon, purchase some green power sources to help with publicity.
objective_grant_greenMachine_solar					Purchase and install a Solar Panel.
objective_grant_greenMachine_wind					Purchase and install a Wind Turbine.
objective_grant_greenMachine_hybrid					Purchase and install a Solar/Wind Hybrid.

objective_grant_ecoFriendly							Eco Friendly
objective_grant_ecoFriendly_description				It’s about time we all take a good hard look at our carbon footprint, as such the bank will reward you for abandoning the standard power stations and using Green power sources as alternatives.
objective_grant_ecoFriendly_days					Use only green power sources to power your prison, instead of Power Stations, for five days.

objective_grant_givingSomethingBack                 Giving Something Back
objective_grant_givingSomethingBack_description     With the abundance of power your prison has been producing, the bank would be very gratified if you share some with the national/regional/local grid.
objective_grant_givingSomethingBack_sell            Sell 2,500 units of power back to the grid.

objective_grant_basicFarming						Basic Farming
objective_grant_basicFarming_description			The costs and supplies of food shipments are becoming a national concern, please prove that a self sustained food system is plausible within a prison. Doing so will hopefully alleviate some of this concern.
objective_grant_basicFarming_hire					Hire the Farm Worker staff member.
objective_grant_basicFarming_veg					Correctly build a functional Vegetable Allotment room.
objective_grant_basicFarming_fruit					Correctly build a functional Fruit Orchard room.
objective_grant_basicFarming_farm					Correctly build a functional Farming Field room.
objective_grant_basicFarming_plant					Plant 5 crops of any type in each room.

objective_grant_selfSustaining						Self Sustaining
objective_grant_selfSustaining_description			It’s time to fully prove that prisons are able to become self sufficient, please sell any spare produce as a contribution to the food supply issue.
objective_grant_selfSustaining_hire					Hire 5 Farm Worker staff members.
objective_grant_selfSustaining_buy					Purchase 10 Bags of Compost Fertilizer.
objective_grant_selfSustaining_harvest				Harvest 50 farm plants, of any kind.
objective_grant_selfSustaining_sell					Sell 50 grown crops, of any kind.
objective_grant_selfSustaining_collect				Collect 5 seeds of any type from harvesting crops.

objective_grant_AdvancedFarming					Advanced Farming
objective_grant_AdvancedFarming_description		It’s now time to see if prisons are able to mass produce fresh produce, becoming not only self sufficient but also a core suppliers for other facilities.
objective_grant_AdvancedFarming_research		Research the Farming Bureaucracy Task.
objective_grant_AdvancedFarming_assign			Assign 10 prisoners to work within a Farming Room.
objective_grant_AdvancedFarming_buy1			Purchase the Compost Bin object.
objective_grant_AdvancedFarming_produce			Produce 10 Compost Fertilizer.
objective_grant_AdvancedFarming_harvest			Harvest 500 ripened crops, of any type.

objective_grant_overProduction						Over Production
objective_grant_overProduction_description			As mass production has been proven, please fulfill these food orders as often as you can, they will be renewed every 5 days.
objective_grant_overProduction_carrot				Sell 50 harvested Carrot ingredients.
objective_grant_overProduction_potato				Sell 50 harvested Potato ingredients.
objective_grant_overProduction_cabbage				Sell 50 harvested Cabbage ingredients.
objective_grant_overProduction_tomato				Sell 50 harvested Tomato ingredients.
objective_grant_overProduction_apple				Sell 50 harvested Apple ingredients.
objective_grant_overProduction_orange				Sell 50 harvested Orange ingredients.
objective_grant_overProduction_peach				Sell 50 harvested Peach ingredients.
objective_grant_overProduction_banana				Sell 50 harvested Banana ingredients.

reformProgram_solarpaneldevelopment					Solar Panel Development
reformProgram_solarpaneldevelopment_text			The program is designed to give prisoners usable work skills when they leave, inmates who pass will gain a Green Energy Industry Certificate.
reformprogram_solarTrained							Certified : Solar Panels
reform_program_multirequirements					- Every *X prisoners require a *Y

status_effect_healthy								Healthy
status_effect_StatusSmelly                          Smelly

report_grants_reset_tt								Available in: 
