# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
buildtoolbar_popup_mat_WallMedSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
buildtoolbar_popup_mat_WallMaxSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
buildtoolbar_popup_mat_WallInsaneSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
buildtoolbar_popup_mat_WallProtective	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
buildtoolbar_popup_mat_CliffEdge	Errichten Sie Wände, die am oberen Ende angeschrägt sind, um unüberwindbare Bereiche im Gefängnis oder auf der Insel zu schaffen.

interfaceoverlay_signs	Schilder
interfacemode_walls	Wände
interfacemode_doors	Türen
interface_action_snackbought	Snack gekauft

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	ALLE Trakte
crisisSector_StopAll	ALLE anhalten
crisisSector_SharedOnly	Nur geteilte
crisisSector_MinSecOnly	Nur niedrige Sicherheit
crisisSector_MedSecOnly	Nur normale Sicherheit
crisisSector_MaxSecOnly	Nur hohe Sicherheit
crisisSector_InsaneOnly	Nur psychisch kranke
crisisSector_ProtectedOnly	Nur Schutzhaft
crisisSector_SuperMaxOnly	Nur höchste Sicherheit
crisisSector_DeathRowOnly	Nur Todestrakt

crisisToolbarTitle_WeaponsFree	FREIER SCHUSSWAFFENGEBRAUCH
crisisToolbarTitle_TunnelSearch	TUNNEL DURCHSUCHEN
crisisToolbarTitle_Shakedown	RAZZIA
crisisToolbarTitle_Lockdown	EINSCHLIEßEN
crisisToolbarTitle_Bangup	ARREST
crisisToolbarTitle_RollCall	APPELL
crisisToolbarQuestion	- Trakte auswählen?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	Wählen Sie bitte, welche Sicherheitsstufen diesen benutzerdefinierten Bereich betreten dürfen.
customsectorwindow_minseccaption	Niedrige Sicherheitsstufe
customsectorwindow_medseccaption	Normale Sicherheitsstufe
customsectorwindow_maxseccaption	Hohe Sicherheitsstufe
customsectorwindow_supermaxcaption	Höchste Sicherheitsstufe
customsectorwindow_deathrowcaption	Todestrakt
customsectorwindow_protectivecaption	Schutzhaft
customsectorwindow_insanecaption	Psychisch krank

customSector_title	Benutzerdefinierter Sicherheitstrakt
customSector_subtitle	Dieser Sicherheitstrakt ermöglicht Ihnen folgendes:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	Eine Aufwertung dieses Raums wird auch die Bewertung dieses Sicherheitssektors verbessern.
roomGrading_prisonerTransfer	Aufwertungen werden NUR dann Häftlinge motivieren, wenn das DLC "Für Überführung freigegeben" installiert und die Option "Gefangenentransfer" in den Karteneinstellungen aktiviert ist.

roomgrading_Cell_BadWalls	[*E] Umgeben von bedrückenden Wänden
roomgrading_Cell_OutsideWindow_Large	[*E]*Y Großes Fenster
roomgrading_Cell_HasWindow_None	[*E] Keine Fenster
roomgrading_Dormitory_BadWalls	[*E] Umgeben von bedrückenden Wänden
roomgrading_Dormitory_Mattress	[*E] Überwiegend Betten niedriger Qualität
roomgrading_Dormitory_HasWindow_None	[*E] Keine Fenster
roomgrading_Canteen_RoomSize	[*E] Raumgröße mindestens *X Kästchen
roomgrading_Canteen_Item	[*E] Objekt : *X
roomgrading_Canteen_MealQuality	[*E] DURCHSCHNITTLICHE Essensqualität
roomgrading_Canteen_MealQuality_High	[*E] HOHE Essensqualität
roomgrading_Canteen_MealQuality_Low	[*E] NIEDRIGE Essensqualität
roomgrading_Canteen_MealQuality_None	[*E] KEINE Essensqualität
roomgrading_Canteen_MealVariety	[*E] DURCHSCHNITTLICHE Essensvielfalt
roomgrading_Canteen_MealVariety_High	[*E] HOHE Essensvielfalt
roomgrading_Canteen_MealVariety_Low	[*E] NIEDRIGE Essensqualität
roomgrading_Canteen_MealVariety_None	[*E] KEINE Essensvielfalt
roomgrading_Canteen_HasWindow_None	[*E] Keine Fenster
roomgrading_Yard_RoomSize	[*E] Raumgröße mindestens *X Kästchen
roomgrading_Yard_RoomSizeLess	[*E] Raumgröße *X Kästchen oder weniger
roomgrading_Yard_Item	[*E] Objekt : *X
roomgrading_Yard_Floor	[*E] *X Bodenbelag (mehr als *Y%)
roomgrading_Yard_MultiItems	[*E] Enthält *X der oben angezeigten Objekte
roomgrading_Yard_Floor_Quantity	[*E] *X *Y Kästchen
roomgrading_CommonRoom_RoomSize	[*E] Raumgröße mindestens *X Kästchen
roomgrading_CommonRoom_Item	[*E] Objekt : *X
roomgrading_Gymnasium_RoomSize	[*E] Raumgröße mindestens *X Kästchen
roomgrading_Gymnasium_OutsideWindow	[*E] *Y Außenfenster
roomgrading_Gymnasium_Item	[*E] Objekt : *X
roomgrading_Gymnasium_HasWindow_None	[*E] Keine Fenster
roomgrading_Classroom_RoomSize	[*E] Raumgröße mindestens *X Kästchen
roomgrading_Classroom_Item	[*E] Objekt : *X
roomgrading_Classroom_OutsideWindow	[*E] *Y Außenfenster

buildtoolbar_improvement	-VERBESSERT Bewertung von: *R
buildtoolbar_decreased	-REDUZIERT Bewertung von: *R
buildtoolbar_improvement_windows	(wenn nach Außen ausgerichtet)

buildtoolbar_planning_autofoundation	Automatisches Fundament

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Niedrige Sicherheitstufe
interfaceLogistics_MedSecGrading	Mittlere Sicherheitsstufe
interfaceLogistics_MaxSecGrading	Hohe Sicherheitsstufe
interfaceLogistics_SuperMaxGrading	Höchste Sicherheitsstufe

sectorGrading_title	Trakt: *X
sectorGrading_housed	*X Häftlinge sind untergebracht in: *Y
sectorGrading_desiresTransfer	*X *Y Häftlinge hoffen auf einen Transfer nach: *Z

sectorGrading_description	Eine Aufschlüsselung der Bewertung dieses Traktes findet sich unten. Je mehr Privilegien hinzugefügt werden, desto höher die Bewertung (maximal 250).
sectorGrading_encouragement	Je höher der Unterschied in der Bewertung zwischen *X und diesem Trakt, desto mehr *X Häftlinge werden animiert, sich zu bessern, um in diesen Trakt der niedrigeren Sicherheitsstufe versetzt zu werden.
sectorGrading_discouragement	Um einen ähnlichen Effekt zu erreichen, können Sie auch die Bewertung der *X absenken, indem Sie Privilegien beschneiden und den Komfort verringern, riskieren damit aber Tumulte unter den Insassen.

sectorGrading_transferNote	(ACHTUNG: Transferwillige Häftlinge werden NUR dann aktiv, wenn das DLC "Für Überführung freigegeben" installiert und die Option "Gefangenentransfer" in den Karteneinstellungen aktiviert ist).

sectorGrading_privilegesTitle	Privilegien von Häftlingen
sectorGrading_visitation	[+*X] Besucherraum
sectorGrading_mail	[+*X] Post
sectorGrading_work	[+*X] Arbeitszugang (Geld)
sectorGrading_education	[+*X] Ausbildung / Zugang zu Programmen
sectorGrading_meals	[+*X] 2+ Mahlzeiten am Tag
sectorGrading_freeTime	[+*X] Reichlich Freizeit (20%)
sectorGrading_extraFreeTime	[+*X] Zusätzliche Freizeit (30%)
sectorGrading_yard	[+*X] Hofzugang
sectorGrading_gym	[+*X] Sportsaalzugang
sectorGrading_shop	[+*X] Ladenzugang
sectorGrading_commonRoom	[+*X] Zugang zum Gemeinschaftsraum
sectorGrading_showers	[+*X] Heiße Duschen
sectorGrading_sleep	[+*X] 10 Stunden Schlaf oder mehr

sectorGrading_facilitiesTitle	Ausstattung
sectorGrading_room	[*X/*Y] *R Qualität (Mittelwert)

sectorGrading_conditionsTitle	Konditionen
sectorGrading_suppresion	[*X/15] *Y Unterdrückung
sectorGrading_risk	[*X/20] *Y Risiko (Tote und Verletzte)
sectorGrading_cleanliness	[*X/15] *Y Sauberkeit

sectorGrading_grade	Bewertung *X/250
dialog_veryLow	Sehr niedrig

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Verschieden

report_needs_staffBreaks	Das ist der höchste Prozentsatz an Personal jeden Typs, das gleichzeitig in die Pause gehen kann.
reports_privilegetitle	Richtlinien für Privilegien
reports_misconducttitle	Richtlinien für Fehlverhalten
reports_paroletitle	Richtlinien für Quotenentlassungen
reports_parole_info	Quote anpassen:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilegien
reports_policy_Visitation	Besuch
reports_policy_Mail	Post
reports_policy_PrisonLabour	Gefängnisarbeit
reports_policy_All	Alle
reports_policy_Programs	Programme
reports_policy_WorkPrograms	Arbeit
reports_policy_EducationPrograms	Ausbildung
reports_policy_WellnessPrograms	Wohlergehen

reports_policy_defaults	Empfohlen
reports_policy_tooltip_recomended	Setzt *X auf empfohlene Werte für alle ausgewählten Sicherheitsstufen fest.
reports_policy_tooltip_all	Aktiviert/Deaktiviert alle Sicherheitsstufen des Gefängnisses

reports_privilegesPolicy_tooltip_all	Ändert alle Programme außer Bewährungsanhörungen, Gnadengesuchen bei Todesurteilen und Psychiatrischer Beratung.
reports_privilegesPolicy_tooltip	Wählen Sie aus, welche Sicherheitstrakte an diesen Programmen teilnehmen können:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Grundlagenbildung \n-Allgemeinbildung
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Verhaltenstherapie \n-Gruppentherapie für Alkoholiker \n-Geistige Führung
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Sicherheit und Hygiene in der Küche \n-Einführung "Sicherheit in der Werkstatt" \n-Tischlerlehre

report_policy_categoryTooltip_Minsec	Niedrige Sicherheitsstufe
report_policy_categoryTooltip_Normal	Normale Sicherheitsstufe
report_policy_categoryTooltip_MaxSec	Hohe Sicherheitsstufe
report_policy_categoryTooltip_Protected	Schutzhaft
report_policy_categoryTooltip_SuperMax	Höchste Sicherheitsstufe
report_policy_categoryTooltip_DeathRow	Todestrakt
report_policy_categoryTooltip_Insane	Psychisch krank

report_policy_misconductConflict_tooltip	Es wurden mehrere Sicherheitstypen mit unterschiedlichen Richtlinien ausgewählt. Wählen Sie einzelne Häftlingskategorien aus, um deren Richtlinien für Fehlverhalten einzusehen.

report_policy_match	Anpassen an:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Weisen Sie Köche zu
interfacedeployment_Doctor	Weisen Sie Ärzte zu

buildtoolbar_deployment_Chef	Weisen Sie Köche an Trakte in Ihrem Gefängnis zu.
buildtoolbar_deployment_Doctor	Weisen Sie Ärzte an Trakte in Ihrem Gefängnis zu.
buildtoolbar_deployment_PrioritizeJanitor	Verwenden Sie diese Option, damit Hausmeister bei ihrer Arbeit bestimmte Trakte in Ihrem Gefängnis priorisieren. Wenn Sie zu wenig Personal haben, werden die Hausmeister versuchen, die priorisierten Bereiche zuerst abzudecken. Wählen Sie 1, 2 oder 3 Hausmeister aus, um einen Bereich zu priorisieren.
buildtoolbar_deployment_PrioritizeGardener	Verwenden Sie diese Option, damit Gärtner bei ihrer Arbeit bestimmte Trakte in Ihrem Gefängnis priorisieren. Wenn Sie zu wenig Personal haben, werden die Gärtner versuchen, die priorisierten Bereiche zuerst abzudecken. Wählen Sie 1, 2 oder 3 Gärtner aus, um einen Bereich zu priorisieren.

researchtooltip_deployment2	Sie können dieses Personal explizit bestimmten Trakten des Gefängnisses im Einsatzmenü zuteilen.
researchtooltip_prioritize	Sie können dieses Personal explizit bestimmten Trakten des Gefängnisses im Einsatzmenü zum zuteilen, die dann von ihnen priorisiert werden.

interfacetopbar_tooltip_totalChefs	*X Köche insgesamt
interfacetopbar_tooltip_totalDoctors	*X Ärzte insgesamt
interfacetopbar_tooltip_cook	Wie viele Köche Ihnen zur Verfügung stehen.
interfacetopbar_tooltip_doctor	Wie viele Ärzte Ihnen zur Verfügung stehen.

interfacetopbar_tooltip_priorityStationed	*X priorisierte Arbeiten

interfacetopbar_tooltip_totalJanitors	*X Hausmeister insgesamt
interfacetopbar_tooltip_totalGardeners	*X Gärtner insgesamt
interfacetopbar_tooltip_janitor	Wie viele Hausmeister Ihnen zur Verfügung stehen.
interfacetopbar_tooltip_gardener	Wie viele Gärtner Ihnen zur Verfügung stehen.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Häftlinge *W für den Transfer nach *C:
reports_prisoners_transfer_ready	bereit
reports_prisoners_transfer_wanting	stehen an
reports_prisoners_transfer_button	ALLE GENEHMIGEN
reports_prsioners_transfer_numCells	(*X Zellen verfügbar)

reports_transfers_offMessage	Häftlingstransfers können in den Karteneinstellungen aktiviert werden.
report_Transfer	Transfers

transfer_icon_tooltip	Verwenden Sie die unten angeführten Optionen, um Kriterien für Häftlinge der Stufe *X festzulegen, die sie erfüllen müssen, um nach *Y überführt zu werden. \nSie können die Kriterien für Richtlinien verwenden, um die Eignung von Häftlingen für einen Transfer zu erschweren, oder andere Optionen einsetzen, um bestimmte Typen von Insassen umgehend zu disqualifizieren. \nNicht alle Häftlinge sind an einem Transfer interessiert. Das gilt besonders für jene mit kurzen Haftstrafen oder Fluchtplänen bzw. für Häftlinge, die davon überzeugt sind, dass die Konditionen in einer niedrigeren Sicherheitsstufe schlechter ausfallen.
transfer_tooltip_onOff	Entfernen Sie den Haken, um Transferberichte für die ausgewählten Sicherheitssektoren EIN-/AUSZUSCHALTEN.

transfer_description	Legen Sie die Kriterien fest, die Häftlinge erfüllen müssen, um in einen niedrigeren und komfortableren Sicherheitssektor überführt zu werden.
transfer_use	Kriterien für den Transfer von *X nach *Y
transfer_behaviourtitle	Gutes Verhalten
transfer_reformtile	Besserung
transfer_requiredtitle	Erfordert
transfer_qualifiedcaption	Alle Häftlinge, die sich jetzt schon qualifiziert sind
transfer_hopingcaption	Alle Häftlinge, die motiviert sind, sich zu qualifizieren
transfer_numPrisoners	*X Häftlinge (*Y%)

transfer_title	Transfer-Richtlinien
transfer_criteria	Richtlinien-Kriterien
transfer_qualifying	Häftlinge qualifizieren

transfer_behaviour_staffAssaults	Keine Überfälle auf Personal
transfer_behaviour_murders	Keine Morde
transfer_behaviour_murdersStuff	(Personal und Häftlinge)
transfer_behaviour_escapeAttempts	Keine Fluchtversuche
transfer_behaviour_contraband	Keine gefährliche Schmuggelware
transfer_behaviour_gangMembers	Bandenmitglieder disqualifiziert
transfer_behaviour_previousCrimes	Disqualifizierende Verbrechen:

transfer_behaviour_tooltip_staffAssaults	Häftlinge, die sich für den Transfer qualifizieren wollen, dürfen die angegebene Anzahl von Tagen kein Personal überfallen haben. Bei mehr Tagen disqualifizieren sie sich als anhaltend gewalttätig.
transfer_behaviour_tooltip_murders	Häftlinge, die sich für den Transfer qualifizieren wollen, dürfen die angegebene Anzahl von Tagen weder Personal, noch Häftlinge getötet haben. Bei mehr Tagen disqualifizieren sie sich als Ihre gefährlichsten Insassen.
transfer_behaviour_tooltip_escapeAttempts	Häftlinge, die sich für den Transfer qualifizieren wollen, dürfen die angegebene Anzahl von Tagen keinen Fluchtversuch unternommen haben.
transfer_behaviour_tooltip_contraband	Häftlinge, die sich für den Transfer qualifizieren wollen, dürfen die angegebene Anzahl von Tagen nicht mit Waffen oder gefährlichen Werkzeugen erwischt worden sein.
transfer_behaviour_tooltip_gangMembers	Entscheiden Sie, ob Sie alle Bandenmitglieder vom Transfer ausschließen möchten, oder nur bestimmte Ränge innerhalb der Bande.
transfer_behaviour_tooltip_previousCrimes	Entscheiden Sie sich dazu, Häftlinge vom Transfer auszuschließen, die bestimmte Verbrechen begangen haben. Wählen Sie die Verbrechen aus den unten angeführten Optionen aus.

transfer_reform_tooltip_reoffending	Häftlinge, die sich für den Transfer qualifizieren wollen, dürfen höchstens eine bestimmte prozentuale Wahrscheinlichkeit haben, erneut straffällig zu werden. Eine niedrigere Wahrscheinlichkeit stellt sicher, dass sich nur die Häftlinge mit dem besten Verhalten qualifizieren.
transfer_reform_tooltip_programsPassed	Häftlinge, die sich für den Transfer qualifizieren wollen, müssen eine bestimmte Anzahl von Programmen absolvieren. Eine höhere Anzahl qualifiziert die Insassen als nicht Besserungswillig.

transfer_required_tooltip	Passen Sie die Werte an, um zu entscheiden, ob die Häftlinge ALLE markierten Transferkriterien erfüllen müssen, oder weniger.

transfer_tooltip_uncheck	\nEntfernen Sie den Haken, um dieses Transferkriterium zu deaktvieren.


transfer_reform_reoffending	% geschätzte Rückfallwahrscheinlichkeit
transfer_reform_programsPassed	Programme absolviert

transfer_required	Oben genannte Kriterien müssen erfüllt werden
